sample_date,southern_cpml,northern_cpml,southern_7day,northern_7day,southern_low,northern_low,southern_hi,northern_hi
2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,29,NA,NA,NA,20,NA,43
2020-03-10,38,15,NA,21,26,10,55,22
2020-03-11,31,65,34,31,21,44,46,95
2020-03-12,25,36,31,32,17,25,37,53
2020-03-13,NA,NA,31,32,NA,NA,NA,NA
2020-03-14,16,27,26,31,11,18,23,40
2020-03-15,39,53,28,34,27,36,57,78
2020-03-16,33,23,29,32,23,16,48,34
2020-03-17,106,78,35,43,73,54,155,114
2020-03-18,65,45,39,40,44,31,95,66
2020-03-19,19,49,37,42,13,33,28,72
2020-03-20,NA,NA,37,42,NA,NA,NA,NA
2020-03-21,NA,NA,44,46,NA,NA,NA,NA
2020-03-22,NA,NA,45,45,NA,NA,NA,NA
2020-03-23,146,380,66,90,100,260,214,556
2020-03-24,NA,321,56,129,NA,219,NA,469
2020-03-25,30,228,43,192,21,156,44,333
2020-03-26,370,39,117,182,253,27,541,57
2020-03-27,34,299,86,201,23,204,50,437
2020-03-28,NA,NA,86,201,NA,NA,NA,NA
2020-03-29,NA,NA,86,201,NA,NA,NA,NA
2020-03-30,46,219,64,180,31,150,67,320
2020-03-31,NA,NA,64,155,NA,NA,NA,NA
2020-04-01,143,475,95,187,98,325,209,695
2020-04-02,NA,NA,61,315,NA,NA,NA,NA
2020-04-03,233,438,116,357,159,300,341,640
2020-04-04,NA,NA,116,357,NA,NA,NA,NA
2020-04-05,NA,NA,116,357,NA,NA,NA,NA
2020-04-06,NA,NA,182,456,NA,NA,NA,NA
2020-04-07,310,562,218,489,212,384,453,822
2020-04-08,NA,NA,269,496,NA,NA,NA,NA
2020-04-09,501,784,331,578,343,536,732,1146
2020-04-10,NA,NA,394,664,NA,NA,NA,NA
2020-04-11,NA,NA,394,664,NA,NA,NA,NA
2020-04-12,NA,NA,394,664,NA,NA,NA,NA
2020-04-13,NA,NA,394,664,NA,NA,NA,NA
2020-04-14,389,702,441,742,266,480,569,1026
2020-04-15,NA,NA,441,742,NA,NA,NA,NA
2020-04-16,138,321,232,474,94,220,202,469
2020-04-17,164,360,206,433,112,246,240,526
2020-04-18,NA,NA,206,433,NA,NA,NA,NA
2020-04-19,NA,NA,206,433,NA,NA,NA,NA
2020-04-20,NA,NA,206,433,NA,NA,NA,NA
2020-04-21,NA,NA,150,340,NA,NA,NA,NA
2020-04-22,220,541,171,397,150,370,322,791
2020-04-23,179,283,186,381,122,193,262,414
2020-04-24,NA,NA,199,391,NA,NA,NA,NA
2020-04-25,NA,NA,199,391,NA,NA,NA,NA
2020-04-26,NA,NA,199,391,NA,NA,NA,NA
2020-04-27,130,NA,173,391,89,NA,190,NA
2020-04-28,97,293,149,355,66,200,142,428
2020-04-29,NA,NA,131,288,NA,NA,NA,NA
2020-04-30,NA,NA,112,293,NA,NA,NA,NA
2020-05-01,NA,NA,112,293,NA,NA,NA,NA
2020-05-02,NA,NA,112,293,NA,NA,NA,NA
2020-05-03,209,93,138,165,143,64,305,136
2020-05-04,NA,NA,142,165,NA,NA,NA,NA
2020-05-05,97,94,142,94,66,64,142,138
2020-05-06,5,22,47,58,3,15,7,32
2020-05-07,NA,NA,47,58,NA,NA,NA,NA
2020-05-08,NA,NA,47,58,NA,NA,NA,NA
2020-05-09,NA,NA,47,58,NA,NA,NA,NA
2020-05-10,NA,NA,22,46,NA,NA,NA,NA
2020-05-11,164,NA,43,46,112,NA,240,NA
2020-05-12,NA,NA,29,22,NA,NA,NA,NA
2020-05-13,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-14,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-15,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-17,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-18,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-19,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-20,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-21,82,42,NA,NA,56,29,120,62
2020-05-22,426,244,NA,NA,291,167,623,357
2020-05-23,77,69,NA,NA,53,47,113,101
2020-05-24,79,52,121,78,54,36,115,76
2020-05-25,66,42,107,69,45,29,97,61
2020-05-26,97,38,105,62,66,26,142,55
2020-05-27,197,81,115,65,135,55,288,118
2020-05-28,50,35,107,63,34,24,73,51
2020-05-29,28,49,73,50,19,34,41,71
2020-05-30,66,NA,71,47,45,NA,97,NA
2020-05-31,79,37,71,45,54,25,116,54
2020-06-01,82,60,73,48,56,41,120,88
2020-06-02,194,95,81,55,133,65,284,139
2020-06-03,35,40,63,49,24,27,51,58
2020-06-04,47,32,63,49,32,22,69,47
2020-06-05,44,45,67,48,30,31,64,66
2020-06-06,19,46,56,48,13,31,28,67
2020-06-07,24,27,47,45,16,19,35,39
2020-06-08,26,19,40,39,18,13,38,28
2020-06-09,52,167,33,42,36,114,76,244
2020-06-10,75,68,37,45,51,47,110,99
2020-06-11,40,134,36,56,27,92,59,196
2020-06-12,45,78,36,60,31,53,66,114
2020-06-13,77,180,44,73,53,123,113,263
2020-06-14,36,NA,47,86,25,NA,53,NA
2020-06-15,38,141,50,120,26,96,55,206
2020-06-16,60,118,51,113,41,81,88,173
2020-06-17,19,13,42,86,13,9,28,19
2020-06-18,16,21,37,63,11,14,23,31
2020-06-19,11,37,30,56,8,25,16,54
2020-06-20,12,25,23,40,8,17,17,36
2020-06-21,22,26,21,38,15,18,32,38
2020-06-22,24,NA,20,30,16,NA,35,NA
2020-06-23,16,22,17,23,11,15,24,32
2020-06-24,5,10,14,22,3,7,7,14
2020-06-25,9,16,12,21,6,11,13,23
2020-06-26,9,11,12,17,6,7,13,16
2020-06-27,20,15,13,16,14,10,29,22
2020-06-28,8,19,11,15,6,13,12,28
2020-06-29,20,15,11,15,14,10,29,22
2020-06-30,12,22,11,15,8,15,17,32
2020-07-01,15,27,12,17,10,19,22,39
2020-07-02,52,29,16,19,36,20,76,43
2020-07-03,20,43,18,23,14,29,29,63
2020-07-04,35,15,19,23,24,10,51,22
2020-07-05,11,13,20,21,7,9,16,19
2020-07-06,17,34,20,24,12,23,25,50
2020-07-07,24,37,22,26,16,25,35,54
2020-07-08,14,30,22,26,10,21,20,44
